from,to,relation
brel,atla,1
brel,badr,1
badr,atla,6
dier,capi,1
capi,univ,4
capina,univna,4
nate,word,1
word,warn,2
nate,sonyna,1
sonyna,sony,4
natk,capi,1
step,repu,1
repu,univ,4
jvke,awal,3
awal,sony,4
rodd,atla,1
ingr,warnna,1
warnna,warn,4
joyt,mars,7
polo,colu,1
colu,sony,4
carr,capina,1
will,rocn,1
rocn,sony,2
msft,will,7
park,mcan,1
mcan,univna,4
khal,righ,1
khal,rcar,1
rcar,sony,4
chri,univna,1
andy,colu,1
barn,andy,7
hitk,camp,3
mari,epic,1
epic,sony,4
mare,sonyna,1
jhay,univla,1
univla,univ,4
bren,decc,1
decc,univ,4
d4vd,inte,1
inte,univ,4
d4vd,dark,1
dark,univ,4
dark,inte,6
anxi,rocn,1
anxi,msft,1
tyle,rocn,1
bobb,geff,1
geff,univ,4
eric,capina,1
erne,bigl,3
take,qual,1
qual,moto,2
moto,univ,4
bren,lost,3
lost,bren,7
hals,capi,1
lilu,rocn,1
evgl,blxs,7
blxs,redb,1
evgl,redb,6
burl,coll,5
russ,trip,1
trip,thir,2
thir,sony,6
quav,qual,1
perr,rcav,1
rcav,rcar,4
kell,atla,1
rile,bigm,1
bigm,univ,2
jose,anth,5
avam,atla,1